compile_order,circuit_inventory_id,pair_id,regime,depth,two_qubit_count,num_qubits,ops
39,zz4_H0_zz4_pair_0039,zz4_pair_0039,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
40,zz4_H0_zz4_pair_0040,zz4_pair_0040,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
41,zz4_H0_zz4_pair_0041,zz4_pair_0041,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
42,zz4_H0_zz4_pair_0042,zz4_pair_0042,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
43,zz4_H0_zz4_pair_0043,zz4_pair_0043,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
44,zz4_H0_zz4_pair_0044,zz4_pair_0044,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
45,zz4_H0_zz4_pair_0045,zz4_pair_0045,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
46,zz4_H0_zz4_pair_0046,zz4_pair_0046,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
47,zz4_H0_zz4_pair_0047,zz4_pair_0047,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
48,zz4_H0_zz4_pair_0048,zz4_pair_0048,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
49,zz4_H0_zz4_pair_0049,zz4_pair_0049,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
50,zz4_H0_zz4_pair_0050,zz4_pair_0050,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
51,zz4_H0_zz4_pair_0051,zz4_pair_0051,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
52,zz4_H0_zz4_pair_0052,zz4_pair_0052,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
53,zz4_H0_zz4_pair_0053,zz4_pair_0053,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
54,zz4_H0_zz4_pair_0054,zz4_pair_0054,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
55,zz4_H0_zz4_pair_0055,zz4_pair_0055,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
56,zz4_H0_zz4_pair_0056,zz4_pair_0056,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
57,zz4_H0_zz4_pair_0057,zz4_pair_0057,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
58,zz4_H0_zz4_pair_0058,zz4_pair_0058,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
59,zz4_H0_zz4_pair_0059,zz4_pair_0059,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
