pair_id,pair_order,pair_mode,kernel_i,kernel_j,sample_i_id,sample_j_id,sample_i_split,sample_j_split,sample_i_target,sample_j_target,pair_type,split_pair,target_pair,expected_symmetry_mirror,include_in_wave1_full_kernel,sentinel_pair,notes
zz4_pair_0041,41,upper_triangle_including_diagonal,1,18,7bf1852bcd51a5df,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0042,42,upper_triangle_including_diagonal,1,19,7bf1852bcd51a5df,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0043,43,upper_triangle_including_diagonal,1,20,7bf1852bcd51a5df,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0044,44,upper_triangle_including_diagonal,1,21,7bf1852bcd51a5df,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0045,45,upper_triangle_including_diagonal,1,22,7bf1852bcd51a5df,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0046,46,upper_triangle_including_diagonal,1,23,7bf1852bcd51a5df,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0047,47,upper_triangle_including_diagonal,2,2,634801d7e3c839d3,634801d7e3c839d3,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0048,48,upper_triangle_including_diagonal,2,3,634801d7e3c839d3,3bcb72be19f6891f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0049,49,upper_triangle_including_diagonal,2,4,634801d7e3c839d3,35e7dd29fccb3b7f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0050,50,upper_triangle_including_diagonal,2,5,634801d7e3c839d3,2e9466b16a3fda6e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0051,51,upper_triangle_including_diagonal,2,6,634801d7e3c839d3,ab4dc42e7cd1e078,,,,,off_diagonal,,,true,true,false,
zz4_pair_0052,52,upper_triangle_including_diagonal,2,7,634801d7e3c839d3,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0053,53,upper_triangle_including_diagonal,2,8,634801d7e3c839d3,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0054,54,upper_triangle_including_diagonal,2,9,634801d7e3c839d3,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0055,55,upper_triangle_including_diagonal,2,10,634801d7e3c839d3,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0056,56,upper_triangle_including_diagonal,2,11,634801d7e3c839d3,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0057,57,upper_triangle_including_diagonal,2,12,634801d7e3c839d3,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0058,58,upper_triangle_including_diagonal,2,13,634801d7e3c839d3,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
zz4_pair_0059,59,upper_triangle_including_diagonal,2,14,634801d7e3c839d3,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0060,60,upper_triangle_including_diagonal,2,15,634801d7e3c839d3,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0061,61,upper_triangle_including_diagonal,2,16,634801d7e3c839d3,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0062,62,upper_triangle_including_diagonal,2,17,634801d7e3c839d3,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0063,63,upper_triangle_including_diagonal,2,18,634801d7e3c839d3,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0064,64,upper_triangle_including_diagonal,2,19,634801d7e3c839d3,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0065,65,upper_triangle_including_diagonal,2,20,634801d7e3c839d3,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0066,66,upper_triangle_including_diagonal,2,21,634801d7e3c839d3,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0067,67,upper_triangle_including_diagonal,2,22,634801d7e3c839d3,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0068,68,upper_triangle_including_diagonal,2,23,634801d7e3c839d3,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0069,69,upper_triangle_including_diagonal,3,3,3bcb72be19f6891f,3bcb72be19f6891f,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0070,70,upper_triangle_including_diagonal,3,4,3bcb72be19f6891f,35e7dd29fccb3b7f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0071,71,upper_triangle_including_diagonal,3,5,3bcb72be19f6891f,2e9466b16a3fda6e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0072,72,upper_triangle_including_diagonal,3,6,3bcb72be19f6891f,ab4dc42e7cd1e078,,,,,off_diagonal,,,true,true,false,
zz4_pair_0073,73,upper_triangle_including_diagonal,3,7,3bcb72be19f6891f,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0074,74,upper_triangle_including_diagonal,3,8,3bcb72be19f6891f,57efcbdd988cedc7,,,,,off_diagonal,,,true,true,false,
zz4_pair_0075,75,upper_triangle_including_diagonal,3,9,3bcb72be19f6891f,a5b2112c04bbe22f,,,,,off_diagonal,,,true,true,false,
zz4_pair_0076,76,upper_triangle_including_diagonal,3,10,3bcb72be19f6891f,bba597289cecd596,,,,,off_diagonal,,,true,true,false,
zz4_pair_0077,77,upper_triangle_including_diagonal,3,11,3bcb72be19f6891f,7a110121aab5f925,,,,,off_diagonal,,,true,true,false,
zz4_pair_0078,78,upper_triangle_including_diagonal,3,12,3bcb72be19f6891f,ecfd53124d72b5dd,,,,,off_diagonal,,,true,true,false,
zz4_pair_0079,79,upper_triangle_including_diagonal,3,13,3bcb72be19f6891f,cba4125e4bce6622,,,,,off_diagonal,,,true,true,false,
