regime_id,manuscript_configuration,n,shots_observed_per_entry,omega_size_directed,omega_size_unique_unordered,kernel_rmse,sigma_shot_global,sigma_shot_global_variance,residual_global,shot_share_global,sigma_shot_matrix,sigma_shot_matrix_variance,residual_matrix,shot_share_matrix,hardware_offdiag_mean,hardware_offdiag_variance,decomposition_policy
H0,M0,24,1024,552,276,0.0877704676366643,0.0220970869120796,0.00048828125,0.0849433560624887,0.0633830630638512,0.00826560716139045,6.8320261746429e-05,0.087380402421895,0.00886855159564847,0.082084324048913,0.00538653976600277,diagnostic_quadrature_reference_not_physical_noise_model
H1,M1,24,1024,552,276,0.0864275383627636,0.0220970869120796,0.00048828125,0.0835550006728919,0.065368084753032,0.00824329813608937,6.79519641604545e-05,0.0860335249962857,0.00909699021286519,0.0815111243206522,0.00528424963233001,diagnostic_quadrature_reference_not_physical_noise_model
H2,M2,24,1024,552,276,0.0427274195046584,0.0220970869120796,0.00048828125,0.0365698116966312,0.267458693223555,0.00852828370583245,7.27316229671672e-05,0.0418676576196937,0.0398391395017253,0.0928583559782609,0.00975849978489626,diagnostic_quadrature_reference_not_physical_noise_model
