regime_id,n,shots_submitted_per_circuit,offdiag_spearman_vs_statevector,offdiag_spearman_pvalue,offdiag_pearson_vs_statevector,offdiag_pearson_pvalue,kernel_mae,kernel_rmse,median_absolute_kernel_error,max_absolute_kernel_error,hardware_offdiag_variance,statevector_offdiag_variance,offdiag_variance_change,effective_rank_hardware,effective_rank_statevector,effective_rank_change,KTA_hardware,KTA_statevector,KTA_drop_relative_to_statevector,CKA_hardware_vs_statevector,CKA_statevector_self,CKA_drop_relative_to_statevector,min_eigenvalue_before_psd,min_eigenvalue_after_psd,psd_correction_frobenius,psd_correction_frobenius_relative
H0,24,1024,0.741297081842571,,0.8272527142734243,,0.04903588514843187,0.08777046763666438,0.02615354758561056,0.5686656028808117,0.005386539766002768,0.018655817197306912,-0.013269277431304145,21.184209317363713,17.971891698723347,3.212317618640366,0.18330845936020965,0.15851109235208113,-0.024797367008128512,0.9333906746578973,1.0,0.06660932534210273,0.428763111071851,0.42876311107185194,8.583547173776992e-15,1.627201233628325e-15
H1,24,1024,0.7749509552911102,,0.842774178341391,,0.04728950462019737,0.08642753836276364,0.026143446979889462,0.5638969084391722,0.005284249632330007,0.018655817197306912,-0.013371567564976905,21.217026154911494,17.971891698723347,3.245134456188147,0.18146337847595853,0.15851109235208113,-0.022952286123877397,0.9373725928446407,1.0,0.0626274071553593,0.46215593566687874,0.4621559356668794,9.259630923313487e-15,1.7621621375280847e-15
H2,24,1024,0.9437436780691297,,0.9862028716378274,,0.025725586521733776,0.042727419504658484,0.016161047901678764,0.2639781028808117,0.009758499784896263,0.018655817197306912,-0.008897317412410649,19.78816955060221,17.971891698723347,1.816277851878862,0.17102484410377672,0.15851109235208113,-0.012513751751695584,0.9886681278100088,1.0,0.01133187218999121,0.23216438914772836,0.23216438914772833,1.070945942310601e-14,1.9070781048728023e-15
